Producto,Descripción,U. de S.,Precio público,precio de lista 4
BAYER-030,DRONTAL PLUS 35 KG 1 TABLETA(de cja c/24,PIEZA,143.67,97.65
BAYER-034,BOVITRAZ 1 LTO.,pz,894.79,
BAYER-035,ASUNTOL LIQUIDO  1 LTO.,pz,1899.67,1293.76
BAYER-036,BAYTRIL MAX 250 ML,pz,2411.28,1739.1
BAYER-037,EQUILIBRIUM AGES 60 TAB PIEL Y PELO,pz,720.28,535.3
BAYER-040,BAYTICOL P.ON PLUS 1 LT.,pz,1181.28,783.12
BAYER-042,ASUNTOL 500 ML,pz,1011.38,724.88
BAYER-048,NEGASUNT POLVO (POWDER BLUE),pz,363.0,230.02
BAYER-055,VIGANTOL ADE 100 ML,pz,868.29,620.06
BAYER-059,ASUNTOL SOBRE 15 GR.,pz,111.63,74.88
BAYER-062,BAYTRIL INY 5% 50 ML,pz,756.0,529.2
BAYER-064,BOVITRAZ 100 ML,pz,194.26,102.96
BAYER-067,CATOSAL 20 ML,pz,292.28,204.88
BAYER-068,BAMITOL 90 GR.,pz,205.64,148.4
BAYER-070,VETRIDERM JABON 100GR,pz,138.86,102.82
BAYER-071,BAYTRIL 5% 20 ML,pz,430.92,302.4
BAYER-074,EQUILIBRIUM ACTIFORTE 60 TAB,pz,513.55,371.0
BAYER-075,VETRIDERM ESSEC 400 ML,pz,277.79,204.58
BAYER-078,BIOTHRINE FLOW 100ML,pz,0.0,126.44
BAYER-082,BAYTRIL FLAVOUR TAB. 50MG 30 TAB,pz,638.12,445.2
BAYER-083,BAYTRIL FLAVOUR 150MG 10 TAB,pz,515.16,359.34
BAYER-085,NEPTRA OTIC 1 ML,pz,1142.64,
BAYER-087,DRONTAL PLUS FLAVOUR 10KG CAJA C/24 TABS,pz,1227.48,837.4
BAYER-088,PROFENDER CAT 35ML,pz,307.4,228.96
BAYER-089,PROFENDER 1.12ML,pz,385.84,289.38
BAYER-090,SERESTO COLLAR CHICO,pz,1021.0,646.6
BAYER-091,DRONTAL PUPPY 20 ML,pz,330.72,223.66
BAYER-093,VERAFLOX 25MG 15ML,pz,578.76,364.64
BAYER-095,VIRKONS 5 KG,pz,7718.37,5789.3
BAYER-098,ONSIOR 20 MG TAB,pz,359.64,273.24
BAYER-099,ONSIOR 10 MG TAB,pz,250.56,189.0
BAYER-100,ADVANTAGE MULTI 1X0.4ML DOG    81483086,pz,381.0,233.2
BAYER-101,CREDELIO GATOS TAB 12MG,pz,782.62,477.42
BAYER-102,CREDELIO GATOS TAB 48MG,pz,850.2,517.75
BAYER-104,BAYTRIL MAX 100ML,pz,1153.28,823.62
BAYER-105,CREDELIO TAB. 56.25MG CAJA C/3 TAB,pz,699.46,378.84
BAYER-106,CREDELIO TAB. 112.5MGMG CAJA C/3 TAB,pz,735.64,400.98
BAYER-107,CREDELIO TAB. 225MG CAJA C/3 TAB,pz,780.64,437.88
BAYER-108,CREDELIO TAB. 450MG CAJA C/3 TAB,pz,807.7,512.2
BAYER-110,CREDELIO TAB. 900MG 3 TABLETAS,pz,874.94,633.04
BAYER-111,ONSIOR 40MG TAB,pz,505.44,385.56
BAYER-114,EQUILIBRIUM SENIOR 60 TAB,pz,773.07,
BAYER-118,ADVANTAGE MULTI 1 X 1.0 ML DOG 81483116,pz,,
BAYER-119,ADVANTAGE MULTI 1 X 2.5 ML DOG 81483078,pz,,
BAYER-120,ADVANTAGE MULTI 1 X 4.0 ML DOG 81483051,pz,,
BAYER-121,GALLIPRANT 100MG 30 TAB,pz,,
BAYER-122,GALLIPRANT 20MG 30 TAB,pz,,
BAYER-123,GALLIPRANT 60MG 30 TAB,pz,,
BAYER-124,CREDELIO PLUS TAB 56.25/2.11 MG C/3,pz,,
BAYER-125,CREDELIO PLUS TAB 112.5/4.22MG C/3,pz,,
BAYER-126,CREDELIO PLUS TAB 225/8.44MG C/3,pz,,
BAYER-127,CREDELIO PLUS TAB 450/16.88MG C/3,pz,,
BAYER-128,CREDELIO PLUS TAB 900.3375MG C/3,pz,,
BAYER-129,DRONTAL CAT ELLIPSOID 1X2 TAB,pz,,
BAYER-130,DRONTAL CAT ELLIPSOID 3X8 TAB,pz,,
BAYER-133,PROFENDER CAT .7ML   87036065,pz,,
BAYER-137,ATOPICA 50MG X 30BLCD,pz,,
BAYER-138,ATOPICA 25MG X 30BLCD,pz,,
BIMEDA-001,COPPERSEPT 475 ML,pz,,
BIMEDA-007,PROPEN G 100ML,pz,,
BIMEDA-008,PROPEN G 250 ML,pz,,
BIMEDA-012,FLUNAZINE 50 MG/ML 100 ML,pz,,
BIMEDA-029,PROPEN G 500ML,pz,1299.83,760.98
BIMEDA-030,CALMUROFEL 120 COMP.,pz,3246.43,2497.25
BIMEDA-031,CALMUROFEL 30 COMP,pz,1079.14,830.11
BIMEDA-034,ATOPIVET 60 CAP BLIST. C/15,pz,2749.35,2114.88
BIMEDA-046,CONDROVET FORCE CATS 45 CAPS,pz,1786.45,1374.19
BIMEDA-047,CONDROVET FORCE 40 CAPS,pz,1592.63,1225.1
BIMEDA-049,POLYCHEWS+KRILL 60 CT,pz,1895.58,1458.14
BIMEDA-053,IMPROMUNE PASTA,pz,1351.56,1039.67
BIMEDA-063,ITCH CARE 118ML ZOEUTICALS,pz,276.67,212.83
BIMEDA-064,LIQUID BANDAGE 118ML ZOEUTICALS,pz,305.92,235.32
BIMEDA-065,FRESH BARK 118ML ZOEUTICALS,pz,247.43,190.33
BIMEDA-066,ATOPIVET COLLAR MAS 10KG,pz,795.06,611.58
BIMEDA-068,ATOPIVET MOUSSE 250ML,pz,866.25,666.34
BIMEDA-070,PETFAST CALMING STRIPSZOEUTICALS,pz,679.93,523.02
BIOZOO-001,BIOARSENOL VIT 250 ML,pz,737.0,368.5
BIOZOO-002,BIOARSENOL VIT. 100 ML.,pz,372.0,186.0
BIOZOO-003,PROTEIZOO PLUS 20 ML.,pz,122.0,61.0
BIOZOO-006,GANAZOO PLUS 20 ML,pz,289.0,144.5
BIOZOO-007,EXTRACTO DE HIGADO 100 ML.,pz,314.0,157.0
BIOZOO-008,PROTEIZOO PLUS 100 ML,pz,377.0,
BIOZOO-009,AMINOTONIC 500 ML,pz,329.0,164.5
BIOZOO-012,BIOBAC 11 VIAS 250 ML 50 DS,pz,1472.0,736.0
BIOZOO-013,EXTRACTO DE HIGADO 250 ML,pz,618.0,309.0
BIOZOO-014,GORBAZOO-100 ML,pz,718.0,359.0
BIOZOO-018,DIFLUXINA 250 ML,pz,774.0,387.0
BIOZOO-019,BIOQUIN 250 ML,pz,553.0,276.5
BIOZOO-021,TRIPLE BOVINA 50 ML 10 DS,pz,167.0,83.5
BIOZOO-022,TRIPLE BOVINA 100 ML 20 DS,pz,242.0,121.0
BIOZOO-023,TRIPLE BOVINA 250 ML 50 DS,pz,461.0,230.5
BIOZOO-025,BIOQUIN 50 ML,pz,290.0,145.0
BIOZOO-027,PROTEIZOO PLUS 250 ML,pz,637.0,318.5
BIOZOO-028,VIRUELA AVIAR 50 DS,pz,127.0,63.5
BIOZOO-029,VIRUELA AVIAR 100 DS,pz,144.0,72.0
BIOZOO-030,TRIPLE AVIAR PM 20 ML BACTERINA,pz,94.0,47.0
